symbol-bse,company-full-name
20MICRONS,20 MICRONS LTD.
360ONE,360 ONE WAM LIMITED
3BBLACKBIO,3B BLACKBIO DX LIMITED
3BFILMS,3B FILMS LIMITED
3CIT,3C IT SOLUTIONS AND TELECOMS (
3IINFOLTD,3I INFOTECH LTD.
3MINDIA,3M INDIA LTD.
3PLAND,3P LAND HOLDINGS LTD.
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
7NR,7NR RETAIL LIMITED
7SEASL,7SEAS ENTERTAINMENT LIMITED
ABCOTS,A B COTSPIN INDIA LIMITED
ABINFRA,A B INFRABUILD LIMITED
A1L,A-1 LIMITED
AFEL,A.F. ENTERPRISES LTD
AKCAPIT,A.K.CAPITAL SERVICES LTD.
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
AAPLUSTRAD,AA PLUS TRADELINK LIMITED
AAATECH,AAA TECHNOLOGIES LIMITED
AADHAARVEN,AADHAAR VENTURES INDIA LTD.
AADHARHFC,AADHAR HOUSING FINANCE LIMITED
AADIIND,AADI INDUSTRIES LTD.
AAGAMCAP,AAGAM CAPITAL LTD.
AANANDALAK,AANANDA LAKSHMI SPINNING MILLS
AANCHALISP,AANCHAL ISPAT LIMITED
AARSHYAM,AAR SHYAM INDIA INVESTMENT COM
AARCON,AARCON FACILITIES LIMITED
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS
AARNAV,AARNAV FASHIONS LIMITED
AARTECH,AARTECH SOLONICS LIMITED
AARTIDRUGS,AARTI DRUGS LTD.
AARTIIND,AARTI INDUSTRIES LTD.
AARTIPHARM,AARTI PHARMALABS LIMITED
AARTISURF,AARTI SURFACTANTS LIMITED
AASHKA,AASHKA HOSPITALS LIMITED
AASTAFIN,AASTAMANGALAM FINANCE LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
AAYUSHBULL,AAYUSH ART AND BULLION LIMITED
AAYUSH,AAYUSH WELLNESS LIMITED
ABAN,ABAN OFFSHORE LTD.
ABANSENT,ABANS ENTERPRISES LTD
AFSL,ABANS FINANCIAL SERVICES LIMIT
ABATEAS,ABATE AS INDUSTRIES LIMITED
ABB,ABB INDIA LIMITED
ABBOTINDIA,ABBOTT INDIA LTD.
ABCINDQ,ABC INDIA LTD.
ABHIJIT,ABHIJIT TRADING CO. LTD.
ABHICAP,ABHINAV CAPITAL SERVICES LTD.
ALFL,ABHINAV LEASING & FINANCE LIMI
ABHISHEK,ABHISHEK CORPORATION LTD.
ABHIFIN,ABHISHEK FINLEASE LIMITED
ABHIINFRA,ABHISHEK INFRAVENTURES LIMITED
ABIRAFN,ABIRAMI FINANCIAL SERVICES (IN
ABMKNO,ABM KNOWLEDGEWARE LTD.
ABRFL,ABRAM FOOD LIMITED
ABRIL,ABRIL PAPER TECH LIMITED
ACC,ACC LTD.
ACCEDERE,ACCEDERE LIMITED
ACCEL,ACCEL LIMITED
ACCELERATE,ACCELERATEBS INDIA LIMITED
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITE
ACCORDTS,ACCORD TRANSFORMER & SWITCHGEA
ANL,ACCRETION NUTRAVEDA LIMITED
ACCURACY,ACCURACY SHIPPING LIMITED
ACEALPHA,ACE ALPHA TECH LIMITED
ACEEDU,ACE EDUTREND LTD.
ACEENGITEC,ACE ENGITECH LIMITED
ACEMEN,ACE MEN ENGG WORKS LIMITED
ACESOFT,ACE SOFTWARE EXPORTS LTD.
ACHAL,ACHAL INVESTMENTS LTD
ACHYUT,ACHYUT HEALTHCARE LIMITED
ACIIN,ACI INFOCOM LTD.
ACKNIT,ACKNIT INDUSTRIES LTD.
ACME,ACME RESOURCES LIMITED
ACMESOLAR,ACME SOLAR HOLDINGS LIMITED
ACROW,ACROW INDIA LTD.
ACSTECH,ACS TECHNOLOGIES LIMITED
ACE,ACTION CONSTRUCTION EQUIPMENT
ACTIVE,ACTIVE CLOTHING CO  LIMITED
ACUTAAS,ACUTAAS CHEMICALS LIMITED
ADMANUM,AD-MANUM FINANCE LTD.
ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED
ADANIENT,ADANI ENTERPRISES LTD.
ADANIGREEN,ADANI GREEN ENERGY LIMITED
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOM
ADANIPOWER,ADANI POWER LTD.
ATGL,ADANI TOTAL GAS LIMITED
ADARSHPL,ADARSH PLANT PROTECT LTD.
ADCINDIA,ADC INDIA COMMUNICATIONS LIMIT
ADCON,ADCON CAPITAL SERVICES LIMITED
ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED
ASRL,ADD-SHOP E-RETAIL LIMITED
ADDIND,ADDI INDUSTRIES LTD.
ADESHWAR,ADESHWAR MEDITEX LIMITED
ADFFOODS,ADF FOODS LTD.
ADHHATA,ADHATA GLOBAL LIMITED
ADHBHUTIN,ADHBHUT INFRASTRUCTURE LTD.
ADINATH,ADINATH TEXTILES LTD.
ADISHAKTI,ADISHAKTI LOHA AND ISPAT LIMIT
ABCAPITAL,ADITYA BIRLA CAPITAL LTD
ABFRL,ADITYA BIRLA FASHION AND RETAI
ABLBL,ADITYA BIRLA LIFESTYLE BRANDS
BIRLAMONEY,ADITYA BIRLA MONEY LTD.
ABREL,ADITYA BIRLA REAL ESTATE LIMIT
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMI
ACML,ADITYA CONSUMER MARKETING LIMI
ADTYFRG,ADITYA FORGE LTD.
CPPLUS,ADITYA INFOTECH LIMITED
ADITYA,ADITYA ISPAT LTD.
ADITYASP,ADITYA SPINNERS LTD.
AVL,ADITYA VISION LIMITED
ADJIA,ADJIA TECHNOLOGIES LIMITED
ADLINE,ADLINE CHEM LAB LIMITED
ADMACH,ADMACH SYSTEMS LIMITED
ADOR,ADOR WELDING LTD.
ADROITINFO,ADROIT INFOTECH LIMITED
ADTECH,ADTECH SYSTEMS LIMITED
ADVAIT,ADVAIT ENERGY TRANSITIONS LIMI
ADVANCE,ADVANCE AGROLIFE LIMITED
ADVLIFE,ADVANCE LIFESTYLES LTD.
AMTL,ADVANCE METERING TECHNOLOGY LT
ADVMULT,ADVANCE MULTITECH LTD.
ADVPETR-B,ADVANCE PETROCHEMICALS LTD.
ADVPOWER,ADVANCE POWERINFRA TECH LIMITE
ASYL,ADVANCE SYNTEX LIMITED
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES L
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA
ADVENTHTL,ADVENT HOTELS INTERNATIONAL LI
ADVIKCA,ADVIK CAPITAL LIMITED
ADVIKLA,ADVIK LABORATORIES LTD.
AEGISLOG,AEGIS LOGISTICS LTD.
AEGISVOPAK,AEGIS VOPAK TERMINALS LIMITED
ACLD,AELEA COMMODITIES LIMITED
AEONXDIGI,AEONX DIGITAL TECHNOLOGY LIMIT
AEQUS,AEQUS LIMITED
AEROENTER,AEROFLEX ENTERPRISES LIMITED
AEROFLEX,AEROFLEX INDUSTRIES LIMITED
AERONEU,AEROFLEX NEU LIMITED
AERPACE,AERPACE INDUSTRIES LIMITED
AETHER,AETHER INDUSTRIES LIMITED
AFCOM,AFCOM HOLDINGS LIMITED
AFCONS,AFCONS INFRASTRUCTURE LIMITED
AFFLE,AFFLE 3I LIMITED
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATIO
AGVENTURES,AG VENTURES LIMITED
AGARWAL,AGARWAL FORTUNE INDIA LIMITED
AGARIND,AGARWAL INDUSTRIAL CORPORATION
AGI,AGI GREENPAC LIMITED
AGIIL,AGI INFRA LIMITED
AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.
AGRITECH,AGRI- TECH (INDIA) LTD
AGRIBIO,AGRIBIO SPIRITS LIMITED
AGSTRA,AGS TRANSACT TECHNOLOGIES LIMI
AHASOLAR,AHASOLAR TECHNOLOGIES LIMITED
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT
AHMDSTE,AHMEDABAD STEELCRAFT LTD.
AICHAMP,AI CHAMPDANY INDUSTRIES LTD.
AIAENG,AIA ENGINEERING LTD.
AIKPIPES,AIK PIPES AND POLYMERS LIMITED
AIMCOPEST,AIMCO PESTICIDES LTD.
GOLDTECH,AION-TECH SOLUTIONS LIMITED
AIRAN,AIRAN LIMITED
AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITE
AJANTPHARM,AJANTA PHARMA LTD.
AJANTSOY,AJANTA SOYA LTD.
AJAXENGG,AJAX ENGINEERING LIMITED
AJCJEWEL,AJC JEWEL MANUFACTURERS LIMITE
AJCON,AJCON GLOBAL SERVICES LTD.
AJEL,AJEL LTD.
AJMERA,AJMERA REALTY & INFRA INDIA LT
AJRINFRA,AJR INFRA AND TOLLING LIMITED
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
AAIL,AKAR AUTO INDUSTRIES LIMITED
AKI,AKI INDIA LIMITED
AFIL,AKME FINTRADE (INDIA) LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LTD.
AKSHAR,AKSHAR SPINTEX LIMITED
AKSHARCHEM,AKSHARCHEM (INDIA) LTD.
AKUMS,AKUMS DRUGS AND PHARMACEUTICAL
ALSL,ALACRITY SECURITIES LTD
ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED
ALANKIT,ALANKIT
ALBERTDAVD,ALBERT DAVID LTD.
ALCHCORP,ALCHEMIST CORPORATION LTD.
ALCHEM,ALCHEMIST LTD.
ALEMBICLTD,ALEMBIC LTD.
APLLTD,ALEMBIC PHARMACEUTICALS LTD.
ALEXANDER,ALEXANDER STAMPS AND COIN LIMI
ALFAICA,ALFA ICA (INDIA) LTD.
ALFATRAN,ALFA TRANSFORMERS LTD.
ALFAVIO,ALFAVISION OVERSEAS (INDIA) LT
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
ALGOQUANT,ALGOQUANT FINTECH LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALIVUS,ALIVUS LIFE SCIENCES LIMITED
ALKA,ALKA INDIA LTD.
ALKASEC,ALKA SECURITIES LTD.
ALKALI,ALKALI METALS LTD.
ALKEM,ALKEM LABORATORIES LIMITED
ALKOSIGN,ALKOSIGN LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.
ALLTIME,ALL TIME PLASTICS LIMITED
ALLCARGO,ALLCARGO LOGISTICS LTD.
ATL,ALLCARGO TERMINALS LIMITED
ALLDIGI,ALLDIGI TECH LIMITED
AIML,ALLIANCE INTEGRATED METALIKS L
ABDL,ALLIED BLENDERS AND DISTILLERS
ADSL,ALLIED DIGITAL SERVICES LTD.
ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.
ALNATRD,ALNA TRADING & EXPORTS LTD.
